"","x"
"1","방탄소년단(BTS) 정국의 '다이너마이트'(Dynamite) 포커스 직캠 영상이 멤버 최초로 200만 뷰를 돌파했다. 방탄소년단은 공식 유튜브 채널 '방탄TV'(BANGTANTV)를 통해 '2020 아메리칸 뮤직 어워즈(이하 '2020 AMAs')에서 펼친... "
"2","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 정상에 오르며 또 한 번 새 역사를 썼습니다. 빌보드는 29일(현지시간) 예고 기사를 통해 방탄소년단의 새 미니앨범 'BE'가 이번... "
"3","3개월간 롯데백화점 광주점에서 'SPACE OF BTS' 운영 패션, 문구, 토이류 등 BTS 굿즈 선보여, BTS 팬들을 위한 포토존도 구성 롯데백화점 광주점(점장 나연)이 글로벌 아이돌 그룹인 방탄소년단(BTS)의 공식 팝업스토어를... "
"4","For the fifth time, BTS has reached the top of the Billboard 200 with its new mini album “BE... BTS just this year topped the list twice with its albums, including “Map of the Soul: 7”... "
"5","그룹 방탄소년단(BTS)의 새 미니앨범 ‘BE’가 미국 빌보드 메인 음반 차트인 ‘빌보드 200’ 1위에 올랐다. BTS 음반이 빌보드 200 1위를 기록한 것은 다섯 번째다. 그룹으로 앨범 5장을 2년 6개월 만에 빌보드 200... "
"6","롯데백화점 광주점(점장 나연)이 글로벌 아이돌 그룹인 '방탄소년단(BTS)'의 공식 팝업스토어를 광주에서는 처음으로 고객에게 선보인다. 30일 롯데백화점 광주점 9층 특설매장에 문을 연 BTS 팝업스토어 'SPACE OF BTS... "
"7","한편, 최근 중국 네티즌들의 BTS(방탄소년단) 논란에서 보듯이 한류 문화 콘텐츠에 대한 중국 정부의 우려가 이번 던파 모바일의 출시 지연에 일정 정도<U+00A0>작용하는게 아니냐는<U+00A0>의견도 제기되고 있다. 중국 정부는 지난... "
"8","[스카이데일리DB] 지난달 방탄소년단(BTS)의 소속사 빅히트엔터테인먼트를 포함한 대형 기업공개(IPO) 영향으로 주식과 회사채 발행실적이 전월 대비 크게 증가한 것으로 나타났다. 반면 기업어음(CP)와... "
"9","넥슨은 이번 겨울 BTS 등 셀럽(Celebrity)들과의 만남으로 게이머들의 팬심 공략에 나섰다. 넥슨은 최근 글로벌 공식 유튜브 채널 및 특별 페이지를 통해 RPG(역할수행게임) ‘메이플스토리’를 주제로 BTS가 출연하는... "
"10","세계적인 보이그룹 방탄소년단(BTS)가 또 하나의 새로운 기록을 작성했다. 빌보드는 29일(현지시간) 예고 기사를 통해 BTS의 새 미니앨범 'BE'가 이번 주 빌보드 200에서 1위로 데뷔했다고 밝혔다. 이로써 BTS는... "
"11","‘2020 APAN AWARDS’의 인기상 최종 투표 결과가 공개됐다. 지난 10월 27일부터 11월 27일까지 아이돌챔프를 통해 진행된 ‘2020 APAN AWARDS’의 인기투표 결과가 공개됐다. 인기투표는 100% 팬들의 투표에 의해... "
"12","넥슨은 지난 26일 글로벌 공식 유튜브 채널 및 특별 페이지를 통해 ‘메이플스토리’를 주제로 BTS가 출연하는 ‘MAPLESTORY X BTS’의 영상 1편을 공개했다. ‘MAPLESTORY X BTS’는 ‘메이플스토리’ 유저로 잘 알려진... "
"13","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 ‘빌보드 200’에서 다섯 번째 1위를 기록했다. 30일 빌보드에 따르면 방탄소년단의 새 미니앨범 ‘BE’가 이번 주 빌보드 200에서 정상을 차지했다. 닐슨뮤직... "
"14","지난 10월 국내 시중은행들의 은행채 발행이 9월 대비 40% 넘게 급증한 것으로 집계됐다. 지난 10월은 빅히트엔터테인먼트 상장 등 원인으로 은행들의 저원가성 예금 규모가 2조원 넘게 줄어든 달이다. 금융당국은... "
"15","BTS의 팬클럽인 ARMY와 같은 명칭이다. ARMY는 BTS 콘텐츠를 유튜브 플랫폼을 통해 제3세계 비주류 음악으로 대우받던 K-POP의 위상을 단숨에 주류 시장으로 끌어올리는 데 결정적으로 기여한 군단의 역할을 했다. 전 세계... "
"16","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 정상에 올랐다. 빌보드는 29일(현지시간) 예고 기사를 통해 방탄소년단의 새 미니앨범 'BE'가 이번 주 빌보드 200에서 1위로... "
"17","https://twitter.com/BTS_twt/status/1331311148965064706?s=20 방탄소년단은 지난 20일, 새 앨범 'BE'를 발매했다. 방탄소년단이 앨범의 방향을 잡는 기획 단계부터 적극 참여해 완성한 앨범으로, 코로나19로 힘들어하고... "
"18","세계를 무대로 누비는 아이돌그룹 방탄소년단(BTS)이 새 앨범 '비(BE)'로 미국 빌보드 주요 앨범 차트인 '빌보드 200' 정상에 올랐다. 통산 5번째 1위다. 방탄소년단은 2년 6개월 동안 앨범 차트에서 5번째 정상을 밟아... "
"19","세계적 아이돌 그룹 방탄소년단(BTS)이 미국 빌보드 앨범차트인 ‘빌보드 200’에서 또다시 1위를 차지했다. 2018년 이후 다섯 번째 앨범차트 정상으로 이는 비틀스 이후 최단기간 기록이다. 빌보드는 29일(현지시각)... "
"20","방탄소년단(BTS) 뷔가 치명적인 미모로 또 다시 팬들을 사로잡았다. 뷔는 지난 29일 방탄소년단 공식 트위터에 'vcut'이라는 제목과 함께 미국 남성 매거진 에스콰이어(Esquire) 12월호 커버 모델 관련 사진 몇 장을 선택해... "
"21","2위로는 1769표(14%)로 그룹 방탄소년단(BTS) 멤버 뷔가 선정됐다. 뷔는 시크하고 차가운... Group BTS (BTS) member V was selected in second place with 1769 votes (14%). V is a chic and cold impression... "
"22","그룹 방탄소년단(BTS)이 새 앨범 'BE (Deluxe Edition)'로 빌보드 메인 앨범 차트인 '빌보드 200'에서 5번째 1위를 차지했다. 29일(이하 현지시간) 빌보드에 따르면 'BE'는 진입 첫 주에 곧바로 '빌보드 200' 1위를... "
"23","<U+00A0>'2020 APAN AWARDS'의 인기상 최종 투표 결과가 공개됐다. 지난 10월 27일부터 11월 27일까지 아이돌챔프를 통해 진행된 '2020 APAN AWARDS'의 인기투표 결과가 공개됐다. 이번 투표에서 국내 남자 솔로 부문은 가수... "
"24","그룹 방탄소년단(BTS)이 새 앨범 ‘BE’(Deluxe Edition)로 미국 빌보드 최신 차트(12월 5일 자) ‘빌보드 200’에서 1위를 차지했다. 빌보드는 29일(이하 현지시간) 공식 홈페이지에 “방탄소년단, ‘BE’로 ‘빌보드... "
"25","그룹 방탄소년단(BTS)의 새 앨범 ‘BE’가 미국 빌보드 메인 앨범 차트에서 5번째 1위에 오르며 또 역사를 썼다. 빌보드는 29일(현지시각) 예고기사를 통해 방탄소년단의 새 앨범 ‘비(BE)’가 이번주 ‘빌보드... "
"26","톱 아이돌그룹 방탄소년단(BTS, RM 진 지민 제이홉 슈가 뷔 정국)이 새 앨범 'BE'로 통산 5번째 빌보드 200 차트 1위의 새 역사를 달성할 전망이다. 빌보드는 지난 29일(현지 시간) 차트 예고 기사를 통해... "
"27","그룹 EXO(엑소)의 디오가 '갑질의 갑도 못할 것 같은 순둥이 스타' 1위로 뽑혔다. 커뮤니티 포털사이트 디시인사이드(대표 김유식)와 취향 검색 기업 마이셀럽스가 운영 중인 '익사이팅디시'가 '갑질의 갑도 못할 것... "
"28","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 빌보드 200에서 또 한번 정상 고지를 밟았다. 이들은 빌보드200 정상에 오른 앨범 수를 5장으로 늘리며 ‘글로벌 아이돌’로 불리는 팀다운 인기... "
"29","BTS has landed at No. 1 on the Billboard 200 with their latest album “BE,” making it the group’s fifth album to top the Billboard’s main albums chart.“BTS lands its fifth No. 1 album on... "
"30","벤텍스의 헬사크린은 쿠팡 방역용 소독제를 시작으로 항균박스 전문기업 다함씨엔피와 30억 계약에 이어 에어텍을 통해 공기정화 BTS스티커를 미국 유럽등 총16개국에 유통을 시작했고 축사악취 제거용 톱밥을 연... "
"31","그룹 방탄소년단(BTS)이 새 앨범으로 또다시 미국 빌보드 메인 앨범 차트 정상에 올랐다. 빌보드는 29일(현지 시간) 방탄소년단이 '빌보드 200' 차트에서 다섯 번째 1위 앨범을 내놨다라고 보도했다.... "
"32","봉준호 감독의 「기생충」, K-pop의 대표 주자 BTS와 블랙핑크, 넷플릭스 시리즈 「킹덤」과 드라마 「사랑의 불시착」 등, 문화산업이 문화적 차원을 넘어 국가 경제를 좌우하는 스토리텔링의 시대다. 문화산업 분야의... "
"33","그룹 방탄소년단(BTS)의 새 앨범 ‘BE’가 미국 빌보드 메인 앨범 차트 ‘빌보드 200’의 정상을 차지했다. 29일(현지시간) 빌보드 예고 기사에 따르면, 방탄소년단의 새 미니앨범 ‘BE’는 오는 12월 5일자... "
"34","그룹 방탄소년단(BTS)이 '빌보드 200'에서 또 한 번 1위에 성공했다. 방탄소년단은 새 앨범 'BE (Deluxe Edition)'로 미국 빌보드 최신 차트(12월 5일 자) '빌보드 200'에서 1위에 올랐다. 'BE'는 진입 첫 주에 곧바로... "
"35","방탄소년단(BTS / RM, 진, 슈가, 제이홉, 지민, 뷔, 정국)이 새 앨범 'BE (Deluxe Edition)'로... [Below is an English The group BTS (BTS / RM, Jin, Suga, J-Hope, Jimin, V, Jung Kook), a group that gathered a... "
"36","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 정상에 올랐다. 빌보드는 29일(현지시간) 예고 기사를 통해 방탄소년단의 새 미니앨범 'BE'가 이번 주 빌보드 200에서 1위로... "
"37","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 1위를 차지했다. 빌보드는 29일(현지 시각) 방탄소년단의 새 미니앨범 'BE'가 이번 주 빌보드 200에서 1위로 데뷔했다고 예고했다.... "
"38","방탄소년단이 새 앨범 'BE(Deluxe Edition)'로 미국 빌보드 최신 차트(12월 5일자) '빌보드 200'에서 1위를 차지했다. 빌보드는 29일(이하 현지시간) 공식 홈페이지에 방탄소년단, 'BE'로 '빌보드 200' 차트에서 다섯 번째... "
"39","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 정상에 올랐다. ▲ 방탄소년단 멤버들이 2일 온라인 미디어데이 행사에 참석해 포즈를 취하고 있다. [빅히트 엔터테인먼트... "
"40","그룹 방탄소년단(BTS)이 새 미니앨범 ‘BE’를 미국 빌보드 메일 앨범차트인 ‘빌보드 200’에서 또 다시 정상에 올려놓으면서 역사를 또 새로 썼다. BTS는 ‘빌보드 200’ 1위에 다섯 번째 오르면서 그룹으로서 비틀스... "
"41","그룹 방탄소년단(BTS)가 K팝을 넘어 전세계 가요계 새로운 역사를 써내려가고 있다. 방탄소년단의 새 앨범 ‘BE’가 빌보드 앨범 차트인 ‘빌보드 200’ 에서 다섯 앨범 연속 1위를 차지했다. 방탄소년단은... "
"42","K-pop superstar BTS broke another record as it landed its fifth No. 1 album on the Billboard 200 chart with its latest mini album ‘BE’. The album, released on Nov. 20, earned 242,000... "
"43","as BTS, reached No. 2 on the U.K.'s Official Albums Chart with their latest album BE last week. The album's lead track, Life Goes On, also placed 10th on the Singles Chart. BTS topped the... "
"44","<U+00A0>그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 정상에 오르며 새 역사를 썼다. 빌보드는 29일(현지시간) 방탄소년단의 새 미니앨범 'BE'가 이번 주 빌보드 200에서 1위로... "
"45","글로벌 아이돌그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 5번째 정상을 차지했다. 빌보드는 29일(현지시간) 예고 기사를 통해 방탄소년단의 새 미니앨범 'BE'가 이번 주 빌보드... "
"46","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트 '빌보드 200'에서 다섯 번째 정상에 올랐다. 29일(현지시간) 빌보드 예고 기사에 따르면 방탄소년단의 새 미니앨범 '비(BE)'는 12월5일자 빌보드 200에서... "
"47","뉴스토마토 = 권익도 기자 | <U+00A0>그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트인 '빌보드 200'에서 다섯 번째 정상에 올랐다. 그룹으로서는 비틀스 이래 최단기간 기록이다. 29일(현지시간) 빌보드는... "
"48","그룹 방탄소년단(BTS)이 미국 빌보드 메인 앨범 차트에서 다섯 번째 정상에 올랐다. 빌보드는 29일(현지시간) 예고 기사를 통해 방탄소년단의 새 미니앨범 ‘비’(BE)가 이번 주 ‘빌보드 200’에서 1위로 데뷔했다고... "
"49","<U+00A0>방탄소년단(BTS)이 신곡 'Life Goes On'의 새로운 버전 뮤직비디오를 공개하며 전 세계 팬들의 기대감을 높였다. 30일 소속사 측은 공식 유튜브 채널에 'Life Goes On' Official MV : like an arrow라는 제목으로 새 앨범 'BE... "
"50","<U+00A0>그룹 방탄소년단(BTS)이 빌보드 메인 앨범 차트 '빌보드 200'에서 정상을 차지했다. 통산 5번째 1위다. 빌보드가 29일(현지시간) 발표한 예고 기사에 따르면 방탄소년단의 새 미니앨범 '비'(BE)는 12월5일자 빌보드... "
