country,inflow
Nigeria,1
Netherlands,1
Nepal,3
Germany,9
Russia,5
Malaysia,1
Mexico,11
Morocco,2
Malta,1
USA,161
Bangladesh,3
Vietnam,3
Bolivia,2
Brazil,8
Saudi Arabia,2
Spain,17
Singapore,1
UAE,5
Argentina,1
Ireland,2
Ecuador,2
Ethiopia,1
UK,51
Austria,3
Jordan,1
Uganda,1
Uzbekistan,13
Ukraine,2
Iraq,10
Iran,1
Egypt,2
Italy,9
India,13
Indonesia,8
Japan,10
China,9
Czech,7
Kazakhstan,10
Qatar,2
Canada,7
Kenya,1
Congo,1
Kuwait,2
Kyrgyzstan,7
Thailand,6
Turkey,4
Paraguay,1
Pakistan,4
Palau,2
Peru,4
Portugal,1
Poland,4
France,25
Philippines,27
Austrailia,1
Hungary,1
Hongkong,2
